date,instr_proj,instr_user,thing_proj,thing_user,i_cum_proj,i_cum_user,t_cum_proj,t_cum_user
1/1/05,0,0,,,0,0,,
1/2/05,0,0,,,0,0,,
1/3/05,0,8,,,0,8,,
1/4/05,0,1,,,0,9,,
1/5/05,0,0,,,0,9,,
1/6/05,0,0,,,0,9,,
1/7/05,0,0,,,0,9,,
1/8/05,78,39,,,78,48,,
1/9/05,39,49,,,117,97,,
1/10/05,15,32,,,132,129,,
1/11/05,20,29,,,152,158,,
1/12/05,41,86,,,193,244,,
1/1/06,23,43,,,216,287,,
1/2/06,44,117,,,260,404,,
1/3/06,143,200,,,403,604,,
1/4/06,131,170,,,534,774,,
1/5/06,128,174,,,662,948,,
1/6/06,176,220,,,838,1168,,
1/7/06,248,263,,,1086,1431,,
1/8/06,198,255,,,1284,1686,,
1/9/06,260,262,,,1544,1948,,
1/10/06,281,312,,,1825,2260,,
1/11/06,231,279,,,2056,2539,,
1/12/06,243,277,,,2299,2816,,
1/1/07,286,375,,,2585,3191,,
1/2/07,313,368,,,2898,3559,,
1/3/07,304,402,,,3202,3961,,
1/4/07,366,387,,,3568,4348,,
1/5/07,398,512,,,3966,4860,,
1/6/07,549,469,,,4515,5329,,
1/7/07,547,553,,,5062,5882,,
1/8/07,517,526,,,5579,6408,,
1/9/07,421,440,,,6000,6848,,
1/10/07,445,811,,,6445,7659,,
1/11/07,544,906,,,6989,8565,,
1/12/07,554,736,,,7543,9301,,
1/1/08,552,987,,,8095,10288,,
1/2/08,616,858,,,8711,11146,,
1/3/08,801,931,,,9512,12077,,
1/4/08,664,878,,,10176,12955,,
1/5/08,580,743,,,10756,13698,,
1/6/08,693,902,,,11449,14600,,
1/7/08,818,904,,,12267,15504,,
1/8/08,762,785,,,13029,16289,,
1/9/08,627,853,,,13656,17142,,
1/10/08,718,1240,5,7,14374,18382,5,7
1/11/08,678,1525,126,239,15052,19907,131,246
1/12/08,818,1553,49,98,15870,21460,180,344
1/1/09,964,1751,36,44,16834,23211,216,388
1/2/09,760,1520,31,39,17594,24731,247,427
1/3/09,865,2710,65,70,18459,27441,312,497
1/4/09,1015,2634,98,66,19474,30075,410,563
1/5/09,778,2183,93,106,20252,32258,503,669
1/6/09,890,1601,78,107,21142,33859,581,776
1/7/09,942,1485,68,83,22084,35344,649,859
1/8/09,868,1393,93,110,22952,36737,742,969
1/9/09,649,1320,96,183,23601,38057,838,1152
1/10/09,762,1072,97,139,24363,39129,935,1291
1/11/09,737,834,113,140,25100,39963,1048,1431
1/12/09,771,924,128,207,25871,40887,1176,1638
1/1/10,658,991,172,292,26529,41878,1348,1930
1/2/10,793,1092,144,292,27322,42970,1492,2222
1/3/10,862,1015,159,245,28184,43985,1651,2467
1/4/10,713,952,441,480,28897,44937,2092,2947
1/5/10,750,950,380,459,29647,45887,2472,3406
1/6/10,719,821,153,347,30366,46708,2625,3753
1/7/10,832,849,173,423,31198,47557,2798,4176
1/8/10,972,885,216,496,32170,48442,3014,4672
1/9/10,880,905,250,644,33050,49347,3264,5316
1/10/10,995,941,278,785,34045,50288,3542,6101
1/11/10,955,842,268,783,35000,51130,3810,6884
1/12/10,927,842,332,1002,35927,51972,4142,7886
1/1/11,960,1050,414,1157,36887,53022,4556,9043
1/2/11,943,1107,645,836,37830,54129,5201,9879
1/3/11,1184,1785,557,628,39014,55914,5758,10507
1/4/11,882,1384,546,603,39896,57298,6304,11110
1/5/11,864,1487,628,701,40760,58785,6932,11811
1/6/11,1048,1899,632,808,41808,60684,7564,12619
1/7/11,1074,1982,570,601,42882,62666,8134,13220
1/8/11,1001,2070,549,669,43883,64736,8683,13889
1/9/11,919,1146,724,821,44802,65882,9407,14710
1/10/11,1229,1318,840,880,46031,67200,10247,15590
1/11/11,1047,1219,757,921,47078,68419,11004,16511
1/12/11,1254,1238,929,977,48332,69657,11933,17488
1/1/12,1283,1310,1084,1253,49615,70967,13017,18741
1/2/12,1317,1175,1085,1303,50932,72142,14102,20044
1/3/12,1306,1204,1440,1283,52238,73346,15542,21327
1/4/12,1323,1231,1116,1046,53561,74577,16658,22373
1/5/12,1256,1255,1106,1190,54817,75832,17764,23563
1/6/12,1308,1282,1355,1269,56125,77114,19119,24832
1/7/12,1261,1293,1168,1376,57386,78407,20287,26208
1/8/12,1158,1437,1245,1489,58544,79844,21532,27697
1/9/12,1177,1648,1283,1987,59721,81492,22815,29684
1/10/12,1464,1835,1334,2143,61185,83327,24149,31827
1/11/12,1305,1429,1550,2912,62490,84756,25699,34739
1/12/12,1162,1328,1940,3433,63652,86084,27639,38172
1/1/13,1328,2318,3027,6360,64980,88402,30666,44532
1/2/13,1392,3040,4297,7384,66372,91442,34963,51916
1/3/13,1561,2787,4992,8926,67933,94229,39955,60842
1/4/13,1665,3049,5058,8406,69598,97278,45013,69248
1/5/13,1846,4222,5929,9938,71444,101500,50942,79186
1/6/13,2076,5634,6053,9076,73520,107134,56995,88262
1/7/13,2374,5110,6370,8360,75894,112244,63365,96622
1/8/13,1909,4558,6063,10857,77803,116802,69428,107479
1/9/13,1625,3887,6490,10075,79428,120689,75918,117554
1/10/13,2180,3998,7351,11122,81608,124687,83269,128676
1/11/13,1964,4006,8261,11478,83572,128693,91530,140154
1/12/13,2155,4076,8027,13419,85727,132769,99557,153573
1/1/14,2554,4678,9511,15974,88281,137447,109068,169547
1/2/14,2287,2377,9401,15199,90568,139824,118469,184746
1/3/14,2538,2315,10243,16220,93106,142139,128712,200966
1/4/14,2509,2181,12308,16916,95615,144320,141020,217882
1/5/14,2767,2081,12611,17547,98382,146401,153631,235429
1/6/14,2702,2571,11155,16396,101084,148972,164786,251825
1/7/14,2879,3460,10979,16990,103963,152432,175765,268815
1/8/14,2431,1940,10864,17729,106394,154372,186629,286544
1/9/14,2414,1675,11134,23335,108808,156047,197763,309879
1/10/14,3112,2232,12779,25762,111920,158279,210542,335641
1/11/14,2878,2190,12402,25829,114798,160469,222944,361470
1/12/14,3159,2190,15245,25887,117957,162659,238189,387357
1/1/15,3322,2395,14834,28035,121279,165054,253023,415392
1/2/15,2805,2193,13920,26414,124084,167247,266943,441806
1/3/15,3441,2484,16321,28068,127525,169731,283264,469874
1/4/15,3276,2372,16843,26490,130801,172103,300107,496364
1/5/15,3707,2578,17741,24637,134508,174681,317848,521001
1/6/15,3553,2677,16592,22125,138061,177358,334440,543126
